date,close,Change,Up,Down,Av up,Av down,Relative,RSI,SMA_10_close,percentage_diff,next_day_change,10_change
2010-09-02,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-03,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-06,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-07,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-08,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-09,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-10,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-13,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-14,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-15,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-16,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-17,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-20,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-21,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-22,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-23,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-24,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-27,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-28,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-29,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-09-30,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-01,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-04,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-05,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-06,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-07,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-08,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-11,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-12,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-13,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-14,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-15,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-18,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-19,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-20,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-21,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-22,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-25,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-26,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-27,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-28,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-10-29,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-01,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-02,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-03,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-04,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-05,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-08,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-09,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-10,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-11,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-12,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-15,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-16,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-17,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-18,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-19,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-22,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-23,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-24,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-25,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-26,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-29,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-11-30,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-12-01,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-12-02,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-12-03,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-12-06,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-12-07,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-12-08,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-12-09,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-12-10,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-12-13,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-12-14,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-12-15,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
2010-12-16,0.043935999274253845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043935999274253845,0.0,0.0,0.0
